Medicamento 	Dosis 	Presentación 	Marca 	Farmacía 	Precio 	Dirección 	Comuna 	Región
16195 	TRADOX 	50 mg 	30 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Ahumada 	26090 	O´Higgins 561 	Copiapó 	Atacama
16196 	TRADOX 	100 mg 	30 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Ahumada 	36090 	O´Higgins 561 	Copiapó 	Atacama
16197 	MELOXICAM 	15 mg 	10 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Ahumada 	1990 	O´Higgins 561 	Copiapó 	Atacama
16198 	METROPAST 	500 mg 	10 COMPRIMIDOS 	LABORATORIO PASTEUR S.A. 	Ahumada 	6890 	O´Higgins 561 	Copiapó 	Atacama
16199 	METROPAST 	500 mg 	20 COMPRIMIDOS 	LABORATORIO PASTEUR S.A. 	Ahumada 	8890 	O´Higgins 561 	Copiapó 	Atacama
16200 	ARTROTIN 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Ahumada 	63690 	O´Higgins 561 	Copiapó 	Atacama
16201 	RIPOL 	50 mg 	1 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Ahumada 	1490 	O´Higgins 561 	Copiapó 	Atacama
16202 	RIPOL 	50 mg 	5 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Ahumada 	6290 	O´Higgins 561 	Copiapó 	Atacama
16203 	TENSIOMAX 	 5 mg 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Ahumada 	5590 	O´Higgins 561 	Copiapó 	Atacama
16204 	BERSEN 	20 mg 	20 COMPRIMIDOS 	LABORATORIO PASTEUR S.A. 	Ahumada 	5990 	O´Higgins 561 	Copiapó 	Atacama
16205 	BERSEN 	 5 mg 	20 COMPRIMIDOS 	LABORATORIO PASTEUR S.A. 	Ahumada 	5190 	O´Higgins 561 	Copiapó 	Atacama
16206 	CARVEDILOL 	25 mg 	30 COMPRIMIDOS 	INSTITUTO SANITAS S.A. 	Ahumada 	4990 	O´Higgins 561 	Copiapó 	Atacama
16207 	BRONDILAT 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Ahumada 	52990 	O´Higgins 561 	Copiapó 	Atacama
16208 	TRIOX N.F. FORTE 	550 mg 	10 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Ahumada 	3190 	O´Higgins 561 	Copiapó 	Atacama
16209 	TRADOX 	25 mg 	30 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Ahumada 	18490 	O´Higgins 561 	Copiapó 	Atacama
16210 	TENSODOX 	10 mg 	10 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Ahumada 	13290 	O´Higgins 561 	Copiapó 	Atacama
16211 	TENSODOX 	10 mg 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Ahumada 	13290 	O´Higgins 561 	Copiapó 	Atacama
16212 	IBAMES 	150 mg 	1 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Ahumada 	31690 	O´Higgins 561 	Copiapó 	Atacama
16213 	DRONAVAL 	150 mg 	3 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Ahumada 	56290 	O´Higgins 561 	Copiapó 	Atacama
16214 	ARILEX FT 	15 mg 	30 COMPRIMIDOS DE DESINTEGRACIÓN BUCAL 	LABORATORIOS ANDRÓMACO S.A. 	Ahumada 	64190 	O´Higgins 561 	Copiapó 	Atacama
16215 	ILIMIT 15 	15 mg 	30 COMPRIMIDOS 	PHARMA INVESTI DE CHILE S.A. 	Ahumada 	69090 	O´Higgins 561 	Copiapó 	Atacama
16216 	IRAZEM 15 	15 mg 	30 COMPRIMIDOS 	DEUTSCHE PHARMA S.A. 	Ahumada 	38990 	O´Higgins 561 	Copiapó 	Atacama
16217 	MICROSER 	16 mg 	30 COMPRIMIDOS 	GRÜNENTHAL CHILENA LTDA. 	Ahumada 	39790 	O´Higgins 561 	Copiapó 	Atacama
16218 	MICROSER 	8 mg 	30 COMPRIMIDOS 	GRÜNENTHAL CHILENA LTDA. 	Ahumada 	31090 	O´Higgins 561 	Copiapó 	Atacama
16219 	ACNOTIN 	20 mg 	30 CÁPSULAS BLANDAS 	LABORATORIO BAGÓ DE CHILE S.A. 	Ahumada 	49990 	O´Higgins 561 	Copiapó 	Atacama
16220 	INFLADER 	20 mg 	30 CÁPSULAS BLANDAS 	PHARMA INVESTI DE CHILE S.A. 	Ahumada 	34590 	O´Higgins 561 	Copiapó 	Atacama
16221 	ACNOTIN 	10 mg 	30 CÁPSULAS BLANDAS 	LABORATORIO BAGÓ DE CHILE S.A. 	Ahumada 	27990 	O´Higgins 561 	Copiapó 	Atacama
16222 	LAMICTAL 	100 mg 	30 COMPRIMIDOS DISPERSABLES/MASTICABLES 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	55990 	O´Higgins 561 	Copiapó 	Atacama
16223 	LAMICTAL 	200 mg 	30 COMPRIMIDOS DISPERSABLES/MASTICABLES 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	80090 	O´Higgins 561 	Copiapó 	Atacama
16224 	LAMOTRIGINA 	25 mg 	30 COMPRIMIDOS DISPERSABLES 	LABORATORIO CHILE S.A. 	Ahumada 	5290 	O´Higgins 561 	Copiapó 	Atacama
16225 	LAMOTRIGINA 	50 mg 	30 COMPRIMIDOS DISPERSABLES 	LABORATORIO CHILE S.A. 	Ahumada 	5990 	O´Higgins 561 	Copiapó 	Atacama
16226 	MEGANOX 	100 mg 	30 COMPRIMIDOS DISPERSABLES/MASTICABLES 	ETEX FARMACÉUTICA LTDA. 	Ahumada 	55990 	O´Higgins 561 	Copiapó 	Atacama
16227 	MEGANOX 	25 mg 	30 COMPRIMIDOS DISPERSABLES/MASTICABLES 	ETEX FARMACÉUTICA LTDA. 	Ahumada 	18890 	O´Higgins 561 	Copiapó 	Atacama
16228 	TRADOX FT 	200 mg 	30 COMPRIMIDOS DISPERSABLES/MASTICABLES 	LABORATORIOS ANDRÓMACO S.A. 	Ahumada 	66690 	O´Higgins 561 	Copiapó 	Atacama
16229 	TRIZOL 	100 mg 	30 COMPRIMIDOS 	PHARMA INVESTI DE CHILE S.A. 	Ahumada 	34390 	O´Higgins 561 	Copiapó 	Atacama
16230 	TRIZOL 	100 mg 	30 COMPRIMIDOS DISPERSABLES/MASTICABLES 	ALPES CHEMIE S.A. 	Ahumada 	34390 	O´Higgins 561 	Copiapó 	Atacama
16231 	TRIZOL 	200 mg 	30 COMPRIMIDOS DISPERSABLES/MASTICABLES 	PHARMA INVESTI DE CHILE S.A. 	Ahumada 	35990 	O´Higgins 561 	Copiapó 	Atacama
16232 	LAMOTRIGINA 	100 mg 	30 COMPRIMIDOS DISPERSABLES 	LABORATORIO CHILE S.A. 	Ahumada 	10990 	O´Higgins 561 	Copiapó 	Atacama
16233 	DEGRALER PLUS 	5 mg 	40 COMPRIMIDOS BUCODISPERSABLES 	LABORATORIO BAGÓ DE CHILE S.A. 	Ahumada 	14590 	O´Higgins 561 	Copiapó 	Atacama
16234 	TIRIZ 	5 mg 	30 COMPRIMIDOS RECUBIERTOS 	EUROFARMA CHILE S.A. 	Ahumada 	5350 	O´Higgins 561 	Copiapó 	Atacama
16235 	LEVOCETIRIZINA 	5 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS PRATER S.A. 	Ahumada 	5290 	O´Higgins 561 	Copiapó 	Atacama
16236 	MELOXICAM 	15 mg 	10 COMPRIMIDOS 	OPKO CHILE S.A. 	Ahumada 	1990 	O´Higgins 561 	Copiapó 	Atacama
16237 	MELOXICAM 	15 mg 	10 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Ahumada 	1990 	O´Higgins 561 	Copiapó 	Atacama
16238 	MELOXICAM 	7,5 mg 	15 COMPRIMIDOS 	OPKO CHILE S.A. 	Ahumada 	1890 	O´Higgins 561 	Copiapó 	Atacama
16239 	NARTAN 	2,5 mg 	2 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Ahumada 	4190 	O´Higgins 561 	Copiapó 	Atacama
16240 	MIRAGRAN 	2,5 mg 	10 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Ahumada 	13590 	O´Higgins 561 	Copiapó 	Atacama
16241 	INTAXEL 	1 mg 	30 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Ahumada 	29890 	O´Higgins 561 	Copiapó 	Atacama
16242 	BIOPSOL ER 	1,5 mg 	30 COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 	LABORATORIOS RECALCINE S.A. 	Ahumada 	54590 	O´Higgins 561 	Copiapó 	Atacama
16243 	BIOPSOL 	1 mg 	30 COMPRIMIDOS 	LABORATORIOS RECALCINE S.A. 	Ahumada 	45290 	O´Higgins 561 	Copiapó 	Atacama
16244 	PREGALIN 	75 mg 	30 COMPRIMIDOS 	ITF - LABOMED FARMACÉUTICA LTDA. 	Ahumada 	14590 	O´Higgins 561 	Copiapó 	Atacama
16245 	QUETIAZIC 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	TECNOFARMA S.A. 	Ahumada 	23190 	O´Higgins 561 	Copiapó 	Atacama
16246 	QUETIDIN XR 	200 mg 	30 COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 	LABORATORIOS RECALCINE S.A. 	Ahumada 	50990 	O´Higgins 561 	Copiapó 	Atacama
16247 	ASICOT 	25 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Ahumada 	22290 	O´Higgins 561 	Copiapó 	Atacama
16248 	TOPICTAL 	25 mg 	28 COMPRIMIDOS RECUBIERTOS 	TECNOFARMA S.A. 	Ahumada 	20090 	O´Higgins 561 	Copiapó 	Atacama
16249 	TOPREL 	25 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Ahumada 	22190 	O´Higgins 561 	Copiapó 	Atacama
16250 	ENTRESTO 	200 mg 	56 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Ahumada 	87600 	O´Higgins 561 	Copiapó 	Atacama
16251 	ENTRESTO 	100 mg 	56 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Ahumada 	87600 	O´Higgins 561 	Copiapó 	Atacama
16252 	ENTRESTO 	50 mg 	28 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Ahumada 	46190 	O´Higgins 561 	Copiapó 	Atacama
16253 	DOSARA 	160 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Ahumada 	13490 	O´Higgins 561 	Copiapó 	Atacama
16254 	VARTALAN 	160 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Ahumada 	19290 	O´Higgins 561 	Copiapó 	Atacama
16255 	VARTALAN 	80 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Ahumada 	20590 	O´Higgins 561 	Copiapó 	Atacama
16256 	VALAPLEX 	320 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Ahumada 	20890 	O´Higgins 561 	Copiapó 	Atacama
16257 	VALAX 	80 mg 	35 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Ahumada 	16690 	O´Higgins 561 	Copiapó 	Atacama
16258 	BONVIVA 	150 mg 	1 COMPRIMIDOS RECUBIERTOS 	ROCHE CHILE LTDA. 	Ahumada 	40490 	O´Higgins 561 	Copiapó 	Atacama
16259 	DILATREND 	12,5 mg 	28 COMPRIMIDOS 	ROCHE CHILE LTDA. 	Ahumada 	18490 	O´Higgins 561 	Copiapó 	Atacama
16260 	DILATREND 	25 mg 	28 COMPRIMIDOS 	ROCHE CHILE LTDA. 	Ahumada 	25690 	O´Higgins 561 	Copiapó 	Atacama
16261 	DILATREND 	6,25 mg 	28 COMPRIMIDOS 	ROCHE CHILE LTDA. 	Ahumada 	15990 	O´Higgins 561 	Copiapó 	Atacama
16262 	ROACNETAN 	10 mg 	30 CÁPSULAS BLANDAS 	ROCHE CHILE LTDA. 	Ahumada 	56990 	O´Higgins 561 	Copiapó 	Atacama
16263 	LAMICTAL 	100 mg 	30 COMPRIMIDOS 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	44890 	O´Higgins 561 	Copiapó 	Atacama
16264 	XUZAL 	5 mg 	30 COMPRIMIDOS RECUBIERTOS 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	20690 	O´Higgins 561 	Copiapó 	Atacama
16265 	XUZAL 	5 mg 	60 COMPRIMIDOS RECUBIERTOS 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	22990 	O´Higgins 561 	Copiapó 	Atacama
16266 	SEROQUEL 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	ASTRAZENECA S.A. 	Ahumada 	65290 	O´Higgins 561 	Copiapó 	Atacama
16267 	SEROQUEL 	25 mg 	30 COMPRIMIDOS RECUBIERTOS 	ASTRAZENECA S.A. 	Ahumada 	37290 	O´Higgins 561 	Copiapó 	Atacama
16268 	TAREG 	160 mg 	56 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Ahumada 	58490 	O´Higgins 561 	Copiapó 	Atacama
16269 	TAREG 	80 mg 	28 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Ahumada 	38290 	O´Higgins 561 	Copiapó 	Atacama
16270 	TAREG 	80 mg 	56 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Ahumada 	58490 	O´Higgins 561 	Copiapó 	Atacama
16271 	LIPITOR 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	PFIZER CHILE S.A. 	Ahumada 	57590 	O´Higgins 561 	Copiapó 	Atacama
16272 	RAVOTRIL 	0,5 mg 	30 COMPRIMIDOS 	ROCHE CHILE LTDA. 	Ahumada 	6790 	O´Higgins 561 	Copiapó 	Atacama
16273 	RAVOTRIL 	2 mg 	30 COMPRIMIDOS 	ROCHE CHILE LTDA. 	Ahumada 	13790 	O´Higgins 561 	Copiapó 	Atacama
16274 	PROFENID 	50 mg 	24 CÁPSULAS 	SANOFI-AVENTIS DE CHILE S.A. 	Ahumada 	11090 	O´Higgins 561 	Copiapó 	Atacama
16275 	COZAAR 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	35390 	O´Higgins 561 	Copiapó 	Atacama
16276 	LOSEC 	20 mg 	28 CAPSULAS CON GRANULOS CON RECUBRIMIENTO ENTERICO 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	42090 	O´Higgins 561 	Copiapó 	Atacama
16277 	ALTRULINE 	100 mg 	30 COMPRIMIDOS 	ROERIG S.A. 	Ahumada 	68990 	O´Higgins 561 	Copiapó 	Atacama
16278 	ALTRULINE 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	ROERIG S.A. 	Ahumada 	41390 	O´Higgins 561 	Copiapó 	Atacama
16279 	CELEBRA 	200 mg 	10 CÁPSULAS 	PFIZER CHILE S.A. 	Ahumada 	17090 	O´Higgins 561 	Copiapó 	Atacama
16280 	CELEBRA 	200 mg 	30 CÁPSULAS 	PFIZER CHILE S.A. 	Ahumada 	42790 	O´Higgins 561 	Copiapó 	Atacama
16281 	GLUCOPHAGE 	850 mg 	30 COMPRIMIDOS RECUBIERTOS 	ROCHE CHILE LTDA. 	Ahumada 	11190 	O´Higgins 561 	Copiapó 	Atacama
16282 	GLUCOPHAGE 	850 mg 	60 COMPRIMIDOS RECUBIERTOS 	ROCHE CHILE LTDA. 	Ahumada 	21690 	O´Higgins 561 	Copiapó 	Atacama
16283 	GLAFORNIL 	850 mg 	30 COMPRIMIDOS RECUBIERTOS 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	12390 	O´Higgins 561 	Copiapó 	Atacama
16284 	GLAFORNIL 	850 mg 	60 COMPRIMIDOS RECUBIERTOS 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	18890 	O´Higgins 561 	Copiapó 	Atacama
16285 	AERIUS 	5 mg 	30 COMPRIMIDOS RECUBIERTOS 	SCHERING PLOUGH 	Ahumada 	18790 	O´Higgins 561 	Copiapó 	Atacama
16286 	VIAGRA 	50 mg 	1 COMPRIMIDOS RECUBIERTOS 	PFIZER CHILE S.A. 	Ahumada 	11990 	O´Higgins 561 	Copiapó 	Atacama
16287 	VIAGRA 	100 mg 	1 COMPRIMIDOS RECUBIERTOS 	PFIZER CHILE S.A. 	Ahumada 	16990 	O´Higgins 561 	Copiapó 	Atacama
16288 	TANSTON 	500 mg 	10 COMPRIMIDOS 	PFIZER CHILE S.A. 	Ahumada 	7490 	O´Higgins 561 	Copiapó 	Atacama
16289 	CUROCEF 	500 mg 	14 COMPRIMIDOS RECUBIERTOS 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	53890 	O´Higgins 561 	Copiapó 	Atacama
16290 	BAYCIP 	500 mg 	10 COMPRIMIDOS RECUBIERTOS 	BAYER S.A. 	Ahumada 	27590 	O´Higgins 561 	Copiapó 	Atacama
16291 	BAYCIP 	500 mg 	20 COMPRIMIDOS RECUBIERTOS 	BAYER S.A. 	Ahumada 	33690 	O´Higgins 561 	Copiapó 	Atacama
16292 	LIPITOR 	40 mg 	30 COMPRIMIDOS RECUBIERTOS 	PFIZER CHILE S.A. 	Ahumada 	59990 	O´Higgins 561 	Copiapó 	Atacama
16293 	ARCOXIA 	60 mg 	14 COMPRIMIDOS RECUBIERTOS 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	16990 	O´Higgins 561 	Copiapó 	Atacama
16294 	AROXAT 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	45290 	O´Higgins 561 	Copiapó 	Atacama
16295 	ASPIRINA 	500 mg 	40 COMPRIMIDOS 	BAYER S.A. 	Ahumada 	3290 	O´Higgins 561 	Copiapó 	Atacama
16296 	ASPIRINA 	100 mg 	14 COMPRIMIDOS 	BAYER S.A. 	Ahumada 	1990 	O´Higgins 561 	Copiapó 	Atacama
16297 	ASPIRINA 	100 mg 	42 COMPRIMIDOS 	BAYER S.A. 	Ahumada 	3990 	O´Higgins 561 	Copiapó 	Atacama
16298 	LIPITOR 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	PFIZER CHILE S.A. 	Ahumada 	46690 	O´Higgins 561 	Copiapó 	Atacama
16299 	LIPITOR 	10 mg 	60 COMPRIMIDOS RECUBIERTOS 	PFIZER CHILE S.A. 	Ahumada 	60590 	O´Higgins 561 	Copiapó 	Atacama
16300 	ZYRTEC 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	23490 	O´Higgins 561 	Copiapó 	Atacama
16301 	LEXAPRO 	10 mg 	28 COMPRIMIDOS RECUBIERTOS 	LUNDBECK 	Ahumada 	38490 	O´Higgins 561 	Copiapó 	Atacama
16302 	MICROGYNON 	150/30 mg 	21 COMPRIMIDOS RECUBIERTOS 	BAYER S.A. 	Ahumada 	15490 	O´Higgins 561 	Copiapó 	Atacama
16303 	LIVERTOX 	20 mg 	20 COMPRIMIDOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Ahumada 	2290 	O´Higgins 561 	Copiapó 	Atacama
16304 	AVELOX 	400 mg 	7 COMPRIMIDOS RECUBIERTOS 	BAYER S.A. 	Ahumada 	51990 	O´Higgins 561 	Copiapó 	Atacama
16305 	ADORMIX 	10 mg 	30 COMPRIMIDOS 	SANOFI-AVENTIS DE CHILE S.A. 	Ahumada 	27890 	O´Higgins 561 	Copiapó 	Atacama
16306 	EUTIROX 	100 mg 	50 COMPRIMIDOS 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	7790 	O´Higgins 561 	Copiapó 	Atacama
16307 	EUTIROX 	150 mg 	50 COMPRIMIDOS 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	13690 	O´Higgins 561 	Copiapó 	Atacama
16308 	EUTIROX 	50 mg 	50 COMPRIMIDOS 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	8690 	O´Higgins 561 	Copiapó 	Atacama
16309 	EUTIROX 	75 mg 	50 COMPRIMIDOS 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	9190 	O´Higgins 561 	Copiapó 	Atacama
16310 	APROVEL 	150 mg 	28 COMPRIMIDOS 	SANOFI-AVENTIS DE CHILE S.A. 	Ahumada 	42190 	O´Higgins 561 	Copiapó 	Atacama
16311 	AROMASIN 	25 mg 	30 COMPRIMIDOS 	PFIZER CHILE S.A. 	Ahumada 	149090 	O´Higgins 561 	Copiapó 	Atacama
16312 	CEFAMOX 	500 mg 	8 CÁPSULAS 	BRISTOL MYERS SQUIBB 	Ahumada 	18590 	O´Higgins 561 	Copiapó 	Atacama
16313 	CEFAMOX 	500 mg 	16 CÁPSULAS 	BRISTOL MYERS SQUIBB 	Ahumada 	27990 	O´Higgins 561 	Copiapó 	Atacama
16314 	COAPROVEL 	150/12,5 	28 COMPRIMIDOS RECUBIERTOS 	SANOFI-AVENTIS DE CHILE S.A. 	Ahumada 	39090 	O´Higgins 561 	Copiapó 	Atacama
16315 	CONCOR 	5 mg 	28 COMPRIMIDOS RECUBIERTOS 	MERCK S.A. 	Ahumada 	30190 	O´Higgins 561 	Copiapó 	Atacama
16316 	CRESTOR 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	ASTRAZENECA S.A. 	Ahumada 	37190 	O´Higgins 561 	Copiapó 	Atacama
16317 	CRESTOR 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	ASTRAZENECA S.A. 	Ahumada 	55390 	O´Higgins 561 	Copiapó 	Atacama
16318 	DIFLUCAN 	150 mg 	2 CÁPSULAS 	PFIZER CHILE S.A. 	Ahumada 	25990 	O´Higgins 561 	Copiapó 	Atacama
16319 	DIFLUCAN 	150 mg 	4 CÁPSULAS 	PFIZER CHILE S.A. 	Ahumada 	27990 	O´Higgins 561 	Copiapó 	Atacama
16320 	DIGOXINA 	0,25 mg 	30 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Ahumada 	2090 	O´Higgins 561 	Copiapó 	Atacama
16321 	EBIXA 	10 mg 	56 COMPRIMIDOS RECUBIERTOS 	LUNDBECK 	Ahumada 	94890 	O´Higgins 561 	Copiapó 	Atacama
16322 	FEMARA 	2,5 mg 	30 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Ahumada 	134390 	O´Higgins 561 	Copiapó 	Atacama
16323 	HIDRORONOL 	50 mg 	24 COMPRIMIDOS 	ITF - LABOMED FARMACÉUTICA LTDA. 	Ahumada 	4490 	O´Higgins 561 	Copiapó 	Atacama
16324 	KEPPRA 	500 mg 	30 COMPRIMIDOS RECUBIERTOS 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	27090 	O´Higgins 561 	Copiapó 	Atacama
16325 	KEPPRA 	500 mg 	60 COMPRIMIDOS RECUBIERTOS 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	50490 	O´Higgins 561 	Copiapó 	Atacama
16326 	KEPPRA 	1000 mg 	30 COMPRIMIDOS RECUBIERTOS 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	69990 	O´Higgins 561 	Copiapó 	Atacama
16327 	LEPONEX 	100 mg 	20 COMPRIMIDOS 	NOVARTIS CHILE S.A. 	Ahumada 	36990 	O´Higgins 561 	Copiapó 	Atacama
16328 	LOPID 	600 mg 	20 COMPRIMIDOS 	PFIZER CHILE S.A. 	Ahumada 	30690 	O´Higgins 561 	Copiapó 	Atacama
16329 	MICARDIS 	80 mg 	28 COMPRIMIDOS 	BOEHRINGER INGELHEIM LTDA. 	Ahumada 	34390 	O´Higgins 561 	Copiapó 	Atacama
16330 	MICARDIS 	40 mg 	28 COMPRIMIDOS 	BOEHRINGER INGELHEIM LTDA. 	Ahumada 	36090 	O´Higgins 561 	Copiapó 	Atacama
16331 	MACRODANTINA 	50 mg 	30 CÁPSULAS 	BOEHRINGER INGELHEIM LTDA. 	Ahumada 	15590 	O´Higgins 561 	Copiapó 	Atacama
16332 	MACRODANTINA 	100 mg 	40 CÁPSULAS 	BOEHRINGER INGELHEIM LTDA. 	Ahumada 	16590 	O´Higgins 561 	Copiapó 	Atacama
16333 	MINULET 	s/i 	21 GRAGEAS 	LABORATORIOS WYETH 	Ahumada 	19490 	O´Higgins 561 	Copiapó 	Atacama
16334 	NEO?SINTROM 	4 mg 	20 COMPRIMIDOS 	NOVARTIS CHILE S.A. 	Ahumada 	33590 	O´Higgins 561 	Copiapó 	Atacama
16335 	NEXIUM 	40 mg 	28 POLVO PARA SOLUCIÓN INYECTABLE 	ASTRAZENECA S.A. 	Ahumada 	41690 	O´Higgins 561 	Copiapó 	Atacama
16336 	NORVASC 	5 mg 	30 COMPRIMIDOS 	PFIZER CHILE S.A. 	Ahumada 	36590 	O´Higgins 561 	Copiapó 	Atacama
16337 	PLAVIX 	75 mg 	28 COMPRIMIDOS RECUBIERTOS 	SANOFI-AVENTIS DE CHILE S.A. 	Ahumada 	59890 	O´Higgins 561 	Copiapó 	Atacama
16338 	SINGULAIR 	5 mg 	30 COMPRIMIDOS MASTICABLES 	MERCK SHARP & DOHME CHILE LTDA. 	Ahumada 	75390 	O´Higgins 561 	Copiapó 	Atacama
16339 	TEGRETAL 	200 mg 	20 COMPRIMIDOS 	NOVARTIS CHILE S.A. 	Ahumada 	21590 	O´Higgins 561 	Copiapó 	Atacama
16340 	YASMIN 	s/i 	21 COMPRIMIDOS 	BAYER S.A. 	Ahumada 	23790 	O´Higgins 561 	Copiapó 	Atacama
16341 	Actron 	400 mg 	10 CÁPSULAS BLANDAS 	BAYER S.A. 	Ahumada 	4490 	O´Higgins 561 	Copiapó 	Atacama
16342 	Aerolin LF 	100 mcg 	200 INH. BUCAL 	GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA. 	Ahumada 	16690 	O´Higgins 561 	Copiapó 	Atacama
16343 	Amoval 	1 gr 	14 COMPRIMIDOS 	LABORATORIOS SAVAL S.A. 	Ahumada 	11890 	O´Higgins 561 	Copiapó 	Atacama
16344 	Amoxicilina 	500 mg 	6 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Ahumada 	990 	O´Higgins 561 	Copiapó 	Atacama
16345 	Amoxicilina 	500 mg 	21 COMPRIMIDOS 	Pharma Genexx S.A. 	Ahumada 	3790 	O´Higgins 561 	Copiapó 	Atacama
16346 	Anulette CD 	0,15/0,03 mg 	28 COMPRIMIDOS 	LABORATORIOS SILESIA S.A. 	Ahumada 	6490 	O´Higgins 561 	Copiapó 	Atacama
16347 	Belara 	s/i 	21 COMPRIMIDOS RECUBIERTOS 	GRÜNENTHAL CHILENA LTDA. 	Ahumada 	21990 	O´Higgins 561 	Copiapó 	Atacama
